WARNING: radv is not a conformant Vulkan implementation, testing use only.
0.00.033.106 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.033.265 W srv  llama_server: -----------------
0.00.033.267 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.033.267 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.033.267 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.033.267 W srv  llama_server: -----------------
0.00.034.423 I srv    load_model: loading model '/home/ransika/applications/llama-cpp/models/qwen/ista-daslab/Qwen3.8-27B-GSQ-RCO-IQ3_XXS-mtp.gguf'
0.06.759.301 I cmn          init: llama threadpool init, n_threads = 8
0.06.759.506 W cmn  common_init_: KV cache shifting is not supported for this context, disabling KV cache shifting
0.06.840.585 I common_speculative_init_result: creating MTP draft context against the target model '/home/ransika/applications/llama-cpp/models/qwen/ista-daslab/Qwen3.8-27B-GSQ-RCO-IQ3_XXS-mtp.gguf'
0.06.954.453 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 106496, kv_unified = 'true'
0.06.988.559 I srv  llama_server: model loaded
0.06.988.568 I srv  llama_server: listening on http://0.0.0.0:8080
0.06.988.569 W srv  llama_server: NOTICE: server default port will be changed to :9931 in a future release
0.06.988.570 W srv  llama_server:         ref: https://github.com/ggml-org/llama.cpp/pull/26508
4.06.680.478 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
4.06.680.748 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
4.11.776.826 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   2987, progress = 0.03, t =   4.25 s / 702.79 tokens per second
4.13.654.352 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   4011, progress = 0.05, t =   6.05 s / 663.01 tokens per second
4.15.514.512 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   5035, progress = 0.06, t =   7.88 s / 638.74 tokens per second
4.17.415.711 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   6059, progress = 0.07, t =   9.76 s / 620.67 tokens per second
4.19.368.124 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   7083, progress = 0.08, t =  11.69 s / 605.92 tokens per second
4.21.378.630 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   8107, progress = 0.09, t =  13.67 s / 593.11 tokens per second
4.23.444.189 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   9131, progress = 0.10, t =  15.71 s / 581.26 tokens per second
4.25.561.813 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  10155, progress = 0.11, t =  17.80 s / 570.50 tokens per second
4.27.732.379 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  11179, progress = 0.13, t =  19.94 s / 560.52 tokens per second
4.29.952.237 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  12203, progress = 0.14, t =  22.14 s / 551.17 tokens per second
