WARNING: radv is not a conformant Vulkan implementation, testing use only.
0.00.034.153 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.034.314 W srv  llama_server: -----------------
0.00.034.316 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.034.316 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.034.316 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.034.316 W srv  llama_server: -----------------
0.00.035.479 I srv    load_model: loading model '/home/ransika/applications/llama-cpp/models/qwen/ista-daslab/Qwen3.8-27B-GSQ-RCO-IQ3_XXS-mtp.gguf'
0.12.520.783 I cmn          init: llama threadpool init, n_threads = 8
0.12.521.046 W cmn  common_init_: KV cache shifting is not supported for this context, disabling KV cache shifting
0.12.605.982 I common_speculative_init_result: creating MTP draft context against the target model '/home/ransika/applications/llama-cpp/models/qwen/ista-daslab/Qwen3.8-27B-GSQ-RCO-IQ3_XXS-mtp.gguf'
0.12.703.159 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 106496, kv_unified = 'true'
0.12.732.576 I srv  llama_server: model loaded
0.12.732.583 I srv  llama_server: listening on http://0.0.0.0:8080
0.12.732.584 W srv  llama_server: NOTICE: server default port will be changed to :9931 in a future release
0.12.732.584 W srv  llama_server:         ref: https://github.com/ggml-org/llama.cpp/pull/26508
0.13.067.237 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.13.067.273 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
0.13.499.889 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = -1
0.13.499.934 I slot launch_slot_: id  2 | task 2 | processing task, is_child = 0
0.15.893.907 W slot create_check: id  2 | task 2 | erasing old context checkpoint (pos_min = 168, pos_max = 168, n_tokens = 169, size = 149.857 MiB)
0.20.580.638 I slot print_timing: id  3 | task 0 | n_gen =    100, tg =  17.22 t/s, tg_3s =  17.40 t/s
0.21.201.117 I slot print_timing: id  2 | task 2 | prompt eval time =    2605.93 ms /   855 tokens (    3.05 ms per token,   328.10 tokens per second)
0.21.201.122 I slot print_timing: id  2 | task 2 |        eval time =    5094.94 ms /   100 tokens (   51.46 ms per token,    19.43 tokens per second)
0.21.201.124 I slot print_timing: id  2 | task 2 |       total time =    7700.88 ms /   955 tokens
0.21.201.125 I slot print_timing: id  2 | task 2 |    graphs reused =         40
0.21.201.130 I slot print_timing: id  2 | task 2 | draft acceptance = 0.70370 (   57 accepted /    81 generated), mean len =  2.39
0.21.201.207 I slot      release: id  2 | task 2 | stop processing: n_tokens = 954, truncated = 0
0.22.319.139 I slot print_timing: id  3 | task 0 | prompt eval time =    1765.14 ms /   199 tokens (    8.87 ms per token,   112.74 tokens per second)
0.22.319.142 I slot print_timing: id  3 | task 0 |        eval time =    7486.07 ms /   150 tokens (   50.24 ms per token,    19.90 tokens per second)
0.22.319.143 I slot print_timing: id  3 | task 0 |       total time =    9251.21 ms /   349 tokens
0.22.319.143 I slot print_timing: id  3 | task 0 |    graphs reused =         55
0.22.319.146 I slot print_timing: id  3 | task 0 | draft acceptance = 0.72727 (   88 accepted /   121 generated), mean len =  2.44
0.22.319.176 I slot      release: id  3 | task 0 | stop processing: n_tokens = 348, truncated = 0
0.25.879.525 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = -1
0.25.879.597 I slot launch_slot_: id  1 | task 66 | processing task, is_child = 0
0.31.815.001 I slot print_timing: id  1 | task 66 | prompt processing, n_tokens =   3164, progress = 0.19, t =   4.56 s / 693.69 tokens per second
0.33.632.560 I slot print_timing: id  1 | task 66 | prompt processing, n_tokens =   4188, progress = 0.25, t =   6.35 s / 659.57 tokens per second
0.35.497.676 I slot print_timing: id  1 | task 66 | prompt processing, n_tokens =   5212, progress = 0.30, t =   8.19 s / 636.28 tokens per second
0.37.414.870 I slot print_timing: id  1 | task 66 | prompt processing, n_tokens =   6236, progress = 0.36, t =  10.08 s / 618.51 tokens per second
0.39.386.354 I slot print_timing: id  1 | task 66 | prompt processing, n_tokens =   7260, progress = 0.42, t =  12.03 s / 603.62 tokens per second
0.41.419.292 I slot print_timing: id  1 | task 66 | prompt processing, n_tokens =   8284, progress = 0.48, t =  14.03 s / 590.51 tokens per second
0.43.504.730 I slot print_timing: id  1 | task 66 | prompt processing, n_tokens =   9308, progress = 0.54, t =  16.09 s / 578.54 tokens per second
0.45.641.667 I slot print_timing: id  1 | task 66 | prompt processing, n_tokens =  10332, progress = 0.60, t =  18.20 s / 567.71 tokens per second
0.47.831.369 I slot print_timing: id  1 | task 66 | prompt processing, n_tokens =  11356, progress = 0.66, t =  20.36 s / 557.71 tokens per second
0.50.073.429 I slot print_timing: id  1 | task 66 | prompt processing, n_tokens =  12380, progress = 0.72, t =  22.58 s / 548.32 tokens per second
0.52.366.669 I slot print_timing: id  1 | task 66 | prompt processing, n_tokens =  13404, progress = 0.78, t =  24.85 s / 539.49 tokens per second
0.54.709.846 I slot print_timing: id  1 | task 66 | prompt processing, n_tokens =  14428, progress = 0.84, t =  27.16 s / 531.14 tokens per second
0.57.110.566 I slot print_timing: id  1 | task 66 | prompt processing, n_tokens =  15452, progress = 0.90, t =  29.54 s / 523.17 tokens per second
0.59.566.081 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.59.566.375 I slot launch_slot_: id  0 | task 84 | processing task, is_child = 0
1.03.004.114 I slot print_timing: id  1 | task 66 | prompt processing, n_tokens =  16476, progress = 0.96, t =  31.97 s / 515.43 tokens per second
1.04.490.832 I slot print_timing: id  0 | task 84 | prompt processing, n_tokens =   2660, progress = 0.05, t =   4.82 s / 551.33 tokens per second
1.06.387.944 I slot print_timing: id  0 | task 84 | prompt processing, n_tokens =   3684, progress = 0.07, t =   5.89 s / 625.26 tokens per second
1.08.258.318 I slot print_timing: id  0 | task 84 | prompt processing, n_tokens =   4708, progress = 0.08, t =   7.73 s / 608.68 tokens per second
1.10.177.658 I slot print_timing: id  0 | task 84 | prompt processing, n_tokens =   5732, progress = 0.10, t =   9.63 s / 595.22 tokens per second
1.12.151.958 I slot print_timing: id  0 | task 84 | prompt processing, n_tokens =   6756, progress = 0.12, t =  11.58 s / 583.56 tokens per second
1.14.180.126 I slot print_timing: id  0 | task 84 | prompt processing, n_tokens =   7780, progress = 0.14, t =  13.58 s / 573.07 tokens per second
1.16.266.683 I slot print_timing: id  0 | task 84 | prompt processing, n_tokens =   8804, progress = 0.16, t =  15.64 s / 563.02 tokens per second
1.18.404.594 I slot print_timing: id  0 | task 84 | prompt processing, n_tokens =   9828, progress = 0.18, t =  17.75 s / 553.75 tokens per second
1.20.596.284 I slot print_timing: id  0 | task 84 | prompt processing, n_tokens =  10852, progress = 0.20, t =  19.91 s / 545.01 tokens per second
1.22.839.674 I slot print_timing: id  0 | task 84 | prompt processing, n_tokens =  11876, progress = 0.21, t =  22.13 s / 536.64 tokens per second
1.25.129.390 I slot print_timing: id  0 | task 84 | prompt processing, n_tokens =  12900, progress = 0.23, t =  24.40 s / 528.76 tokens per second
1.27.472.538 I slot print_timing: id  0 | task 84 | prompt processing, n_tokens =  13924, progress = 0.25, t =  26.71 s / 521.25 tokens per second
1.29.866.878 I slot print_timing: id  0 | task 84 | prompt processing, n_tokens =  14948, progress = 0.27, t =  29.08 s / 513.98 tokens per second
1.32.333.245 I slot print_timing: id  0 | task 84 | prompt processing, n_tokens =  15972, progress = 0.29, t =  31.51 s / 506.81 tokens per second
1.34.838.255 I slot print_timing: id  0 | task 84 | prompt processing, n_tokens =  16996, progress = 0.31, t =  34.00 s / 499.88 tokens per second
1.37.393.463 I slot print_timing: id  0 | task 84 | prompt processing, n_tokens =  18020, progress = 0.32, t =  36.53 s / 493.32 tokens per second
1.37.393.693 I slot print_timing: id  1 | task 66 | prompt processing, n_tokens =  16573, progress = 0.97, t =  38.04 s / 435.64 tokens per second
1.40.318.792 I slot print_timing: id  0 | task 84 | prompt processing, n_tokens =  19011, progress = 0.34, t =  39.52 s / 481.10 tokens per second
1.43.039.324 I slot print_timing: id  0 | task 84 | prompt processing, n_tokens =  20035, progress = 0.36, t =  42.12 s / 475.64 tokens per second
1.45.747.981 I slot print_timing: id  0 | task 84 | prompt processing, n_tokens =  21059, progress = 0.38, t =  44.80 s / 470.03 tokens per second
1.48.509.792 I slot print_timing: id  0 | task 84 | prompt processing, n_tokens =  22083, progress = 0.40, t =  47.54 s / 464.52 tokens per second
1.51.325.975 I slot print_timing: id  0 | task 84 | prompt processing, n_tokens =  23107, progress = 0.42, t =  50.33 s / 459.14 tokens per second
1.54.204.185 I slot print_timing: id  0 | task 84 | prompt processing, n_tokens =  24131, progress = 0.43, t =  53.18 s / 453.79 tokens per second
1.57.132.383 I slot print_timing: id  0 | task 84 | prompt processing, n_tokens =  25155, progress = 0.45, t =  56.08 s / 448.58 tokens per second
2.00.120.518 I slot print_timing: id  0 | task 84 | prompt processing, n_tokens =  26179, progress = 0.47, t =  59.04 s / 443.44 tokens per second
2.03.160.568 I slot print_timing: id  0 | task 84 | prompt processing, n_tokens =  27203, progress = 0.49, t =  62.05 s / 438.39 tokens per second
2.06.255.007 I slot print_timing: id  0 | task 84 | prompt processing, n_tokens =  28227, progress = 0.51, t =  65.12 s / 433.47 tokens per second
2.09.403.242 I slot print_timing: id  0 | task 84 | prompt processing, n_tokens =  29251, progress = 0.53, t =  68.24 s / 428.65 tokens per second
2.12.604.577 I slot print_timing: id  0 | task 84 | prompt processing, n_tokens =  30275, progress = 0.55, t =  71.42 s / 423.93 tokens per second
2.15.861.575 I slot print_timing: id  0 | task 84 | prompt processing, n_tokens =  31299, progress = 0.56, t =  74.65 s / 419.30 tokens per second
2.19.175.931 I slot print_timing: id  0 | task 84 | prompt processing, n_tokens =  32323, progress = 0.58, t =  77.93 s / 414.79 tokens per second
2.22.536.348 I slot print_timing: id  0 | task 84 | prompt processing, n_tokens =  33347, progress = 0.60, t =  81.27 s / 410.34 tokens per second
2.25.951.555 I slot print_timing: id  0 | task 84 | prompt processing, n_tokens =  34371, progress = 0.62, t =  84.65 s / 406.02 tokens per second
2.29.418.577 I slot print_timing: id  0 | task 84 | prompt processing, n_tokens =  35395, progress = 0.64, t =  88.10 s / 401.77 tokens per second
2.32.945.571 I slot print_timing: id  0 | task 84 | prompt processing, n_tokens =  36419, progress = 0.66, t =  91.59 s / 397.62 tokens per second
2.36.532.832 I slot print_timing: id  0 | task 84 | prompt processing, n_tokens =  37443, progress = 0.67, t =  95.15 s / 393.52 tokens per second
2.40.194.159 I slot print_timing: id  0 | task 84 | prompt processing, n_tokens =  38467, progress = 0.69, t =  98.77 s / 389.47 tokens per second
2.43.947.564 I slot print_timing: id  0 | task 84 | prompt processing, n_tokens =  39491, progress = 0.71, t = 102.48 s / 385.37 tokens per second
2.43.947.758 I slot print_timing: id  1 | task 66 | prompt processing, n_tokens =  16606, progress = 0.97, t =  72.73 s / 228.31 tokens per second
2.43.947.987 W slot create_check: id  1 | task 66 | erasing old context checkpoint (pos_min = 91, pos_max = 91, n_tokens = 92, size = 149.752 MiB)
2.47.742.852 I slot print_timing: id  0 | task 84 | prompt processing, n_tokens =  40221, progress = 0.72, t = 106.44 s / 377.88 tokens per second
2.47.743.056 W slot create_check: id  0 | task 84 | erasing old context checkpoint (pos_min = 2659, pos_max = 2659, n_tokens = 2660, size = 153.259 MiB)
2.51.698.624 I slot print_timing: id  0 | task 84 | prompt processing, n_tokens =  41245, progress = 0.74, t = 110.15 s / 374.44 tokens per second
2.55.676.666 I slot print_timing: id  0 | task 84 | prompt processing, n_tokens =  42269, progress = 0.76, t = 114.10 s / 370.47 tokens per second
2.59.715.215 I slot print_timing: id  0 | task 84 | prompt processing, n_tokens =  43293, progress = 0.78, t = 118.11 s / 366.56 tokens per second
3.03.827.775 I slot print_timing: id  0 | task 84 | prompt processing, n_tokens =  44317, progress = 0.80, t = 122.18 s / 362.72 tokens per second
3.07.964.859 I slot print_timing: id  0 | task 84 | prompt processing, n_tokens =  45341, progress = 0.82, t = 126.31 s / 358.96 tokens per second
3.12.118.856 I slot print_timing: id  0 | task 84 | prompt processing, n_tokens =  46365, progress = 0.83, t = 130.46 s / 355.41 tokens per second
3.12.119.020 I slot print_timing: id  1 | task 66 | prompt processing, n_tokens =  16900, progress = 0.99, t = 139.65 s / 121.01 tokens per second
3.12.119.240 W slot create_check: id  1 | task 66 | erasing old context checkpoint (pos_min = 16572, pos_max = 16572, n_tokens = 16573, size = 172.259 MiB)
3.13.568.995 I slot print_timing: id  0 | task 84 | prompt processing, n_tokens =  46518, progress = 0.84, t = 133.83 s / 347.59 tokens per second
3.13.569.214 W slot create_check: id  0 | task 84 | erasing old context checkpoint (pos_min = 19010, pos_max = 19010, n_tokens = 19011, size = 175.589 MiB)
3.17.845.871 I slot print_timing: id  0 | task 84 | prompt processing, n_tokens =  47542, progress = 0.86, t = 136.16 s / 349.16 tokens per second
3.22.091.485 I slot print_timing: id  0 | task 84 | prompt processing, n_tokens =  48566, progress = 0.87, t = 140.40 s / 345.92 tokens per second
3.26.391.301 I slot print_timing: id  0 | task 84 | prompt processing, n_tokens =  49590, progress = 0.89, t = 144.67 s / 342.79 tokens per second
3.30.744.742 I slot print_timing: id  0 | task 84 | prompt processing, n_tokens =  50614, progress = 0.91, t = 148.99 s / 339.71 tokens per second
3.35.157.013 I slot print_timing: id  0 | task 84 | prompt processing, n_tokens =  51638, progress = 0.93, t = 153.38 s / 336.67 tokens per second
3.39.631.682 I slot print_timing: id  0 | task 84 | prompt processing, n_tokens =  52662, progress = 0.95, t = 157.82 s / 333.69 tokens per second
