WARNING: radv is not a conformant Vulkan implementation, testing use only.
0.00.096.862 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.105.833 W srv  llama_server: -----------------
0.00.105.836 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.105.836 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.105.836 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.105.836 W srv  llama_server: -----------------
0.00.107.024 I srv    load_model: loading model '/home/ransika/applications/llama-cpp/models/qwen/ista-daslab/Qwen3.8-27B-GSQ-RCO-IQ3_XXS-mtp.gguf'
0.05.903.976 I cmn          init: llama threadpool init, n_threads = 8
0.05.904.238 W cmn  common_init_: KV cache shifting is not supported for this context, disabling KV cache shifting
0.05.984.763 I common_speculative_init_result: creating MTP draft context against the target model '/home/ransika/applications/llama-cpp/models/qwen/ista-daslab/Qwen3.8-27B-GSQ-RCO-IQ3_XXS-mtp.gguf'
0.06.112.118 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 106496, kv_unified = 'true'
0.06.149.390 I srv  llama_server: model loaded
0.06.149.394 I srv  llama_server: listening on http://0.0.0.0:8080
0.06.149.394 W srv  llama_server: NOTICE: server default port will be changed to :9931 in a future release
0.06.149.395 W srv  llama_server:         ref: https://github.com/ggml-org/llama.cpp/pull/26508
2.51.155.971 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
2.51.156.214 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
2.55.683.267 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   2660, progress = 0.03, t =   4.25 s / 626.60 tokens per second
2.57.536.754 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   3684, progress = 0.04, t =   5.47 s / 673.65 tokens per second
2.59.369.331 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   4708, progress = 0.06, t =   7.28 s / 647.08 tokens per second
3.01.255.317 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   5732, progress = 0.07, t =   9.13 s / 627.51 tokens per second
3.03.192.901 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   6756, progress = 0.08, t =  11.05 s / 611.64 tokens per second
3.05.189.574 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   7780, progress = 0.09, t =  13.01 s / 597.94 tokens per second
3.07.244.564 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   8804, progress = 0.11, t =  15.04 s / 585.38 tokens per second
3.09.352.321 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   9828, progress = 0.12, t =  17.12 s / 574.11 tokens per second
3.11.508.776 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  10852, progress = 0.13, t =  19.25 s / 563.67 tokens per second
3.13.718.053 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  11876, progress = 0.14, t =  21.44 s / 554.02 tokens per second
