WARNING: radv is not a conformant Vulkan implementation, testing use only.
0.00.029.355 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.029.588 W srv  llama_server: -----------------
0.00.029.590 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.029.590 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.029.590 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.029.590 W srv  llama_server: -----------------
0.00.030.764 I srv    load_model: loading model '/home/ransika/applications/llama-cpp/models/qwen/ista-daslab/Qwen3.8-27B-GSQ-RCO-IQ3_XXS-mtp.gguf'
0.05.981.927 I cmn          init: llama threadpool init, n_threads = 12
0.05.982.235 W cmn  common_init_: KV cache shifting is not supported for this context, disabling KV cache shifting
0.06.061.398 I common_speculative_init_result: creating MTP draft context against the target model '/home/ransika/applications/llama-cpp/models/qwen/ista-daslab/Qwen3.8-27B-GSQ-RCO-IQ3_XXS-mtp.gguf'
0.06.171.251 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 106496, kv_unified = 'true'
0.06.224.664 I srv  llama_server: model loaded
0.06.224.676 I srv  llama_server: listening on http://0.0.0.0:8080
0.06.224.677 W srv  llama_server: NOTICE: server default port will be changed to :9931 in a future release
0.06.224.677 W srv  llama_server:         ref: https://github.com/ggml-org/llama.cpp/pull/26508
3.06.035.210 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
3.06.035.483 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
3.11.129.930 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   2987, progress = 0.07, t =   4.25 s / 702.34 tokens per second
3.13.006.275 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   4011, progress = 0.09, t =   6.05 s / 662.96 tokens per second
3.14.863.724 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   5035, progress = 0.11, t =   7.88 s / 639.25 tokens per second
3.16.777.260 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   6059, progress = 0.14, t =   9.76 s / 620.60 tokens per second
3.18.742.623 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   7083, progress = 0.16, t =  11.70 s / 605.18 tokens per second
3.20.768.877 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   8107, progress = 0.18, t =  13.70 s / 591.94 tokens per second
3.22.840.343 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   9131, progress = 0.21, t =  15.75 s / 579.80 tokens per second
3.24.961.112 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  10155, progress = 0.23, t =  17.84 s / 569.09 tokens per second
3.27.136.280 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  11179, progress = 0.25, t =  19.99 s / 559.16 tokens per second
3.29.363.914 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  12203, progress = 0.28, t =  22.19 s / 549.83 tokens per second
3.31.642.292 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  13227, progress = 0.30, t =  24.45 s / 541.03 tokens per second
3.33.970.608 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  14251, progress = 0.32, t =  26.75 s / 532.79 tokens per second
3.36.345.969 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  15275, progress = 0.35, t =  29.10 s / 524.92 tokens per second
3.38.789.199 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  16299, progress = 0.37, t =  31.51 s / 517.26 tokens per second
3.41.279.150 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  17323, progress = 0.39, t =  33.97 s / 509.88 tokens per second
3.43.823.345 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  18347, progress = 0.42, t =  36.50 s / 502.68 tokens per second
3.46.411.363 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  19371, progress = 0.44, t =  39.06 s / 495.92 tokens per second
3.49.049.855 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  20395, progress = 0.46, t =  41.67 s / 489.41 tokens per second
3.51.739.894 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  21419, progress = 0.49, t =  44.34 s / 483.08 tokens per second
3.54.481.015 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  22443, progress = 0.51, t =  47.05 s / 476.97 tokens per second
3.57.278.588 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  23467, progress = 0.53, t =  49.82 s / 471.03 tokens per second
4.00.141.356 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  24491, progress = 0.56, t =  52.65 s / 465.19 tokens per second
